支付宝交易记录明细查询
账号:[18598046892]
起始日期:[2020-09-08 00:00:00]    终止日期:[2020-10-08 23:05:35]
---------------------------------交易记录明细列表------------------------------------
交易号                  ,商家订单号               ,交易创建时间              ,付款时间                ,最近修改时间              ,交易来源地     ,类型              ,交易对方            ,商品名称                ,金额（元）   ,收/支     ,交易状态    ,服务费（元）   ,成功退款（元）  ,备注                  ,资金状态     ,
2020100810199318530000000000220013297264	,                    	,2020-10-08 23:04:21 ,2020-10-08 23:04:29 ,2020-10-08 23:04:29 ,支付宝网站     ,即时到账交易          ,借呗              ,借呗还款                ,1639.18 ,        ,还款成功    ,0.00     ,0.00     ,                    ,资金转移     ,
2020100810199318520000000000220012668963	,                    	,2020-10-08 13:23:18 ,2020-10-08 13:23:20 ,2020-10-08 13:23:20 ,支付宝网站     ,即时到账交易          ,借呗              ,借呗还款                ,0.03    ,        ,还款成功    ,0.00     ,0.00     ,                    ,资金转移     ,
2020100822001471221422346424	,XP1320100803500544855684005891	,2020-10-08 03:13:58 ,2020-10-08 03:13:58 ,2020-10-08 03:13:58 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,拼多多平台商户         ,商户单号XP1320100803500544855684005891,0.25    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2020100622001471225755212213	,visionpay86D4479326B80AD84EAD7EDE	,2020-10-06 21:08:20 ,2020-10-06 21:08:21 ,2020-10-06 21:08:21 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,友宝              ,智能货柜消费              ,13.00   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2020091322001471220584473406_20201005000000022000000013800632	,20091311100400000005146132901056	,2020-10-05 16:16:46 ,                    ,2020-10-05 16:16:46 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,美团点评            ,退款-美团订单-20091311100400000005146132901056,1.34    ,收入      ,退款成功    ,0.00     ,0.00     ,                    ,已收入      ,
2020100522001471225754365090	,46018530039802931871223	,2020-10-05 07:10:06 ,2020-10-05 07:10:28 ,2020-10-05 07:10:28 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,我是假哥。           ,商品                  ,281.00  ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2020100422001471225754364986	,16018243444802931871223	,2020-10-04 23:12:26 ,2020-10-04 23:12:33 ,2020-10-04 23:12:33 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,罗崖              ,商品                  ,30.00   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2020100422001471225754300857	,1520180330024764010461368603355788326800079	,2020-10-04 20:14:07 ,2020-10-04 20:14:21 ,2020-10-04 20:14:21 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,巴犀烧烤(民治店)       ,巴犀烧烤(民治店)           ,289.00  ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2020100422001471225753765486	,1420180330024764010461368603355220776805547	,2020-10-04 15:10:04 ,2020-10-04 15:10:04 ,2020-10-04 15:10:04 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,领跑桌球棋牌俱乐部       ,MTDP-领跑桌球棋牌俱乐部      ,15.00   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2020100422001471225754011578	,16017900469802931871223	,2020-10-04 13:40:49 ,2020-10-04 13:40:53 ,2020-10-04 13:40:53 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,萍水相逢            ,商品                  ,12.50   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2020100422001471225753590458	,711070130028812820201004123832	,2020-10-04 12:38:31 ,2020-10-04 12:38:31 ,2020-10-04 12:38:31 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,7-Eleven(缤果空间)  ,711Payment          ,13.50   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2020100422001471225754011492	,361266000048210001112063120001133155	,2020-10-04 12:33:36 ,2020-10-04 12:33:36 ,2020-10-04 12:33:36 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,深圳市益田联商投资管理有限公司 ,深圳市益田联商投资管理有限公司     ,395.00  ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2020100422001471225753553184	,991266000048210001112063120001133134	,2020-10-04 12:26:27 ,2020-10-04 12:26:27 ,2020-10-04 12:26:27 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,深圳市益田联商投资管理有限公司 ,深圳市益田联商投资管理有限公司     ,438.00  ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2020100322001471221421396509	,1050003004401585939 	,2020-10-03 21:41:20 ,2020-10-03 21:41:20 ,2020-10-03 21:41:20 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,北京豆瓣豆品文化有限公司    ,豆瓣网 豆瓣电影日历2021      ,168.00  ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2020100122001471225751988142	,302017072407876133AAA1765620201001184825Z319d30b26	,2020-10-01 18:48:25 ,2020-10-01 18:48:30 ,2020-10-01 18:48:30 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,新琪佳便利店          ,中银来聚财扫码支付           ,36.00   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2020100122001471221420802965	,20100170115953483910	,2020-10-01 18:39:16 ,2020-10-01 18:39:16 ,2020-10-01 18:39:16 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,饿了么             ,大掌柜凉皮肉夹馍(车公庙店)外卖订单  ,14.60   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2020093022001471225751927070	,visionpay86D4479326B80AD068192DC3	,2020-09-30 21:18:34 ,2020-09-30 21:18:34 ,2020-09-30 21:18:34 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,友宝              ,智能货柜消费              ,22.50   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2020093022001471221420402124	,11180600720093032013624258703	,2020-09-30 18:35:15 ,2020-09-30 18:35:16 ,2020-09-30 18:35:16 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,饿了么             ,切果吧.甘草水果(新洲店)       ,20.20   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2020093022001471225751752657	,20093070115231179910	,2020-09-30 18:32:25 ,2020-09-30 18:32:29 ,2020-09-30 18:32:29 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,饿了么             ,尊宝比萨(上沙二店)外卖订单      ,15.60   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2020093022001471221420199794	,20093070115228372310	,2020-09-30 18:31:44 ,2020-09-30 18:31:44 ,2020-09-30 18:31:44 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,拉扎斯网络科技（上海）有限公司 ,超级会员加量包订单：3000000006903730810,5.00    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2020093022001471221420364179	,XP1020093014500351011088003153	,2020-09-30 14:05:49 ,2020-09-30 14:05:49 ,2020-09-30 14:05:49 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,拼多多平台商户         ,商户单号XP1020093014500351011088003153,5.42    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2020093022001471221420130175	,XP1720093012501350810123002396	,2020-09-30 12:30:15 ,2020-09-30 12:30:15 ,2020-09-30 12:30:15 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,拼多多平台商户         ,商户单号XP1720093012501350810123002396,11.90   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
