支付宝交易记录明细查询
账号:[18598046892]
起始日期:[2020-07-06 00:00:00]    终止日期:[2020-08-06 08:35:38]
---------------------------------交易记录明细列表------------------------------------
交易号                  ,商家订单号               ,交易创建时间              ,付款时间                ,最近修改时间              ,交易来源地     ,类型              ,交易对方            ,商品名称                ,金额（元）   ,收/支     ,交易状态    ,服务费（元）   ,成功退款（元）  ,备注                  ,资金状态     ,
2020072922001471221442211122_RM0020080605201250256282007371	,XP0020072919201517508995007371	,2020-08-06 05:25:13 ,                    ,2020-08-06 05:25:13 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,拼多多平台商户         ,退款-商户单号XP0020072919201517508995007371,42.60   ,收入      ,退款成功    ,0.00     ,0.00     ,                    ,已收入      ,
20200806009130101000220003416043	,20200806009130501000220046620384	,2020-08-06 01:01:30 ,2020-08-06 01:01:31 ,2020-08-06 01:01:30 ,支付宝网站     ,即时到账交易          ,国泰基金管理有限公司      ,余额宝-自动转入            ,438.24  ,        ,交易成功    ,0.00     ,0.00     ,                    ,资金转移     ,
2020080522001471221445925178	,20080511100400000002709726507056	,2020-08-05 11:20:44 ,2020-08-05 11:20:45 ,2020-08-05 11:20:45 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,美团点评            ,美团订单-20080511100400000002709726507056,18.76   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2020080510193018530000000000220097600319	,                    	,2020-08-05 11:03:10 ,2020-08-05 11:03:22 ,2020-08-05 11:03:22 ,支付宝网站     ,即时到账交易          ,借呗              ,借呗还款                ,1561.76 ,        ,还款成功    ,0.00     ,0.00     ,                    ,资金转移     ,
20200805200040011100390069910700	,                    	,2020-08-05 10:18:36 ,2020-08-05 10:18:42 ,2020-08-05 10:18:42 ,支付宝网站     ,即时到账交易          ,娜               ,转账                  ,2000.00 ,收入      ,交易成功    ,0.00     ,0.00     ,转账                  ,已收入      ,
2020080522001471221445940725	,XP0020080509201805138802005442	,2020-08-05 09:23:08 ,2020-08-05 09:23:08 ,2020-08-05 09:23:08 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,拼多多平台商户         ,商户单号XP0020080509201805138802005442,1.36    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2020080522001471221446243745	,XP0020080509201805019069001374	,2020-08-05 09:20:04 ,2020-08-05 09:20:05 ,2020-08-05 09:20:05 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,拼多多平台商户         ,商户单号XP0020080509201805019069001374,15.90   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2020080522001471221446013249	,XP0020080509201804987978003077	,2020-08-05 09:18:26 ,2020-08-05 09:18:26 ,2020-08-05 09:18:26 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,拼多多平台商户         ,商户单号XP0020080509201804987978003077,26.01   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2020080522001471221446199161	,45965884418802931871223	,2020-08-05 08:47:23 ,2020-08-05 08:47:39 ,2020-08-05 08:47:39 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,恛憶              ,商品                  ,5.00    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2020080422001471221446021727	,45965364860802931871223	,2020-08-04 18:21:27 ,2020-08-04 18:21:34 ,2020-08-04 18:21:34 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,马维良             ,商品                  ,15.00   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2020080422001471221444568280	,20080411100400000002652612999056	,2020-08-04 11:23:20 ,2020-08-04 11:23:20 ,2020-08-04 11:23:20 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,美团点评            ,美团订单-20080411100400000002652612999056,11.59   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2020080422001471221444547581	,45965026266802931871223	,2020-08-04 08:57:08 ,2020-08-04 08:57:13 ,2020-08-04 08:57:13 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,恛憶              ,商品                  ,5.00    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2020080322001171221444234568	,T200P1160374467018542514	,2020-08-03 23:58:07 ,2020-08-03 23:58:17 ,2020-08-04 08:42:37 ,淘宝        ,支付宝担保交易         ,意品宠物用品专营店       ,黄粉金鱼药杀菌锦鲤药热带鱼药鱼病药剂观赏鱼黄粉日本锦鲤鱼消毒 等多件,14.90   ,支出      ,等待确认收货  ,0.00     ,0.00     ,                    ,已支出      ,
2020080322001471221444155955	,XP0020080323201752357822005881	,2020-08-03 23:51:02 ,2020-08-03 23:51:03 ,2020-08-03 23:51:03 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,拼多多平台商户         ,商户单号XP0020080323201752357822005881,4.66    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2020080322001471221443920839	,XP0020080323201752213275007990	,2020-08-03 23:47:46 ,2020-08-03 23:47:46 ,2020-08-03 23:47:46 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,拼多多平台商户         ,商户单号XP0020080323201752213275007990,6.60    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2020080322001471221443873345	,20080311100400000002592853515056	,2020-08-03 11:19:06 ,2020-08-03 11:19:06 ,2020-08-03 11:19:06 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,美团点评            ,美团订单-20080311100400000002592853515056,10.20   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2020080322001471221443762504	,45964158776802931871223	,2020-08-03 08:51:19 ,2020-08-03 08:51:24 ,2020-08-03 08:51:24 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,恛憶              ,商品                  ,5.00    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2020080222001471221443651681	,20080211100400000002564440656056	,2020-08-02 18:19:13 ,2020-08-02 18:19:14 ,2020-08-02 18:19:14 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,美团点评            ,美团订单-20080211100400000002564440656056,16.00   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2020080222001471221443587396	,20080211100400000002533676841056	,2020-08-02 11:28:57 ,2020-08-02 11:28:57 ,2020-08-02 11:28:57 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,美团点评            ,美团订单-20080211100400000002533676841056,5.98    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2020080222001471221443615200	,20080211100400000002532312910056	,2020-08-02 11:22:54 ,2020-08-02 11:22:55 ,2020-08-02 11:22:55 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,美团点评            ,美团订单-20080211100400000002532312910056,6.00    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2020080122001471221443111289	,20080111100400000002504455142056	,2020-08-01 19:20:47 ,2020-08-01 19:20:47 ,2020-08-01 19:20:47 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,美团点评            ,美团订单-20080111100400000002504455142056,66.04   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
